NumberOfIntegers,DataStructure,insert(),insertAt(),contains(),indexOf(),get(),delete()
1000000,ArrayList_Initialized,17.16,993.67,26.29,25.98,0.01,937.49
1000000,LinkedList,15.78,56.29,96.68,85.29,55.43,0.11
1000000,Vector,17.71,933.09,32.24,29.13,0.02,973.28
1000000,Vector_Initialized,17.37,903.21,26.75,27.0,0.02,1004.79

1050000,ArrayList,22.33,1054.91,55.42,48.1,0.01,1265.05
1050000,ArrayList_Initialized,16.32,1010.7,29.7,29.32,0.01,1003.85
1050000,LinkedList,17.18,63.69,94.49,97.27,62.63,0.19
1050000,Vector,20.68,1219.92,35.12,32.73,0.05,1162.8
1050000,Vector_Initialized,21.56,1174.59,31.95,33.73,0.02,1084.98

1100000,ArrayList,26.63,1154.03,29.86,29.46,0.01,1047.39
1100000,ArrayList_Initialized,15.03,1037.92,50.92,36.67,0.01,1050.1
1100000,LinkedList,161.23,73.55,96.82,101.06,62.77,0.06
1100000,Vector,15.32,1041.47,31.54,30.95,0.02,1005.39
1100000,Vector_Initialized,10.08,1039.67,30.18,31.54,0.02,1056.21

1150000,ArrayList,16.73,1009.13,31.65,33.92,0.01,1087.74
1150000,ArrayList_Initialized,12.89,1005.78,29.88,29.27,0.01,1021.29
1150000,LinkedList,11.87,70.03,93.24,94.81,61.37,0.05
1150000,Vector,12.95,1029.97,33.37,31.22,0.02,1064.38
1150000,Vector_Initialized,19.52,1146.62,32.66,35.07,0.05,1116.98

1200000,ArrayList,12.59,1066.01,30.25,28.87,0.01,1116.82
1200000,ArrayList_Initialized,14.74,1148.14,30.83,31.38,0.01,1163.47
1200000,LinkedList,12.42,72.91,105.69,97.37,64.33,0.05
1200000,Vector,17.8,1078.42,31.49,31.78,0.02,1065.81
1200000,Vector_Initialized,14.59,1064.13,32.45,31.37,0.02,1054.59

1250000,ArrayList,29.2,1859.49,35.23,34.35,0.01,1606.48
1250000,ArrayList_Initialized,26.12,1029.19,30.53,29.87,0.01,1064.48
1250000,LinkedList,212.72,78.8,115.43,103.62,66.67,0.06
1250000,Vector,13.88,1086.9,33.28,32.79,0.02,1045.59
1250000,Vector_Initialized,10.89,1083.49,31.97,29.78,0.03,1050.01

1300000,ArrayList,17.28,1133.25,33.9,69.86,0.01,1073.52
1300000,ArrayList_Initialized,13.71,1029.08,30.26,30.16,0.01,1035.06
1300000,LinkedList,14.07,66.54,99.57,97.24,63.82,0.05
1300000,Vector,18.49,1087.29,33.57,32.81,0.02,1090.14
1300000,Vector_Initialized,16.5,1181.42,31.58,36.39,0.02,1120.65

1350000,ArrayList,14.89,1248.78,38.94,34.46,0.01,1189.74
1350000,ArrayList_Initialized,12.32,1223.17,33.24,35.48,0.01,1143.11
