NumberOfIntegers,DataStructure,insert(),insertAt(),contains(),indexOf(),get(),delete()
1450000,VectorInitialized,61,61,61,61,61,61

1500000,ArrayList,27,27,27,27,27,27
1500000,ArrayList_Initialized,61,61,61,61,61,61
1500000,LinkedList,46,46,46,46,46,46
1500000,Vector,28,28,28,28,28,28
1500000,VectorInitialized,61,61,61,61,61,61

1550000,ArrayList,27,27,27,27,27,27
1550000,ArrayList_Initialized,61,61,61,61,61,61
1550000,LinkedList,46,46,46,46,46,46
1550000,Vector,28,28,28,28,28,28
1550000,VectorInitialized,61,61,61,61,61,61

1600000,ArrayList,27,27,27,27,27,27
1600000,ArrayList_Initialized,61,61,61,61,61,61
1600000,LinkedList,46,46,46,46,46,46
1600000,Vector,28,28,28,28,28,28
1600000,VectorInitialized,61,61,61,61,61,61

1650000,ArrayList,27,27,27,27,27,27
1650000,ArrayList_Initialized,61,61,61,61,61,61
1650000,LinkedList,46,46,46,46,46,46
1650000,Vector,28,28,28,28,28,28
1650000,VectorInitialized,61,61,61,61,61,61

1700000,ArrayList,27,27,27,27,27,27
1700000,ArrayList_Initialized,61,61,61,61,61,61
1700000,LinkedList,46,46,46,46,46,46
1700000,Vector,28,28,28,28,28,28
1700000,VectorInitialized,61,61,61,61,61,61

1750000,ArrayList,27,27,27,27,27,27
1750000,ArrayList_Initialized,61,61,61,61,61,61
1750000,LinkedList,46,46,46,46,46,46
1750000,Vector,28,28,28,28,28,28
1750000,VectorInitialized,61,61,61,61,61,61

1800000,ArrayList,27,27,27,27,27,27
1800000,ArrayList_Initialized,61,61,61,61,61,61
1800000,LinkedList,46,46,46,46,46,46
1800000,Vector,28,28,28,28,28,28
1800000,VectorInitialized,61,61,61,61,61,61

1850000,ArrayList,27,27,27,27,27,27
1850000,ArrayList_Initialized,61,61,61,61,61,61
1850000,LinkedList,46,46,46,46,46,46
1850000,Vector,28,28,28,28,28,28
1850000,VectorInitialized,61,61,61,61,61,61

1900000,ArrayList,27,27,27,27,27,27
1900000,ArrayList_Initialized,61,61,61,61,61,61
1900000,LinkedList,46,46,46,46,46,46
1900000,Vector,28,28,28,28,28,28
1900000,VectorInitialized,61,61,61,61,61,61

1950000,ArrayList,27,27,27,27,27,27
1950000,ArrayList_Initialized,61,61,61,61,61,61
1950000,LinkedList,46,46,46,46,46,46
1950000,Vector,28,28,28,28,28,28
1950000,VectorInitialized,61,61,61,61,61,61

2000000,ArrayList,27,27,27,27,27,27
2000000,ArrayList_Initialized,61,61,61,61,61,61
2000000,LinkedList,46,46,46,46,46,46
2000000,Vector,28,28,28,28,28,28
2000000,VectorInitialized,61,61,61,61,61,61

2050000,ArrayList,27,27,27,27,27,27
2050000,ArrayList_Initialized,61,61,61,61,61,61
2050000,LinkedList,46,46,46,46,46,46
2050000,Vector,28,28,28,28,28,28
2050000,VectorInitialized,61,61,61,61,61,61

2100000,ArrayList,27,27,27,27,27,27
2100000,ArrayList_Initialized,61,61,61,61,61,61
2100000,LinkedList,46,46,46,46,46,46
2100000,Vector,28,28,28,28,28,28
2100000,VectorInitialized,61,61,61,61,61,61

2150000,ArrayList,27,27,27,27,27,27
2150000,ArrayList_Initialized,61,61,61,61,61,61
2150000,LinkedList,46,46,46,46,46,46
2150000,Vector,28,28,28,28,28,28
2150000,VectorInitialized,61,61,61,61,61,61

2200000,ArrayList,27,27,27,27,27,27
2200000,ArrayList_Initialized,61,61,61,61,61,61
2200000,LinkedList,46,46,46,46,46,46
2200000,Vector,28,28,28,28,28,28
2200000,VectorInitialized,61,61,61,61,61,61

2250000,ArrayList,27,27,27,27,27,27
2250000,ArrayList_Initialized,61,61,61,61,61,61
2250000,LinkedList,46,46,46,46,46,46
2250000,Vector,28,28,28,28,28,28
2250000,VectorInitialized,61,61,61,61,61,61

2300000,ArrayList,27,27,27,27,27,27
2300000,ArrayList_Initialized,61,61,61,61,61,61
2300000,LinkedList,46,46,46,46,46,46
2300000,Vector,28,28,28,28,28,28
2300000,VectorInitialized,61,61,61,61,61,61

2350000,ArrayList,27,27,27,27,27,27
2350000,ArrayList_Initialized,61,61,61,61,61,61
2350000,LinkedList,46,47,47,47,47,46
2350000,Vector,28,28,28,28,28,28
2350000,VectorInitialized,61,61,61,61,61,61

2400000,ArrayList,27,27,27,27,27,27
2400000,ArrayList_Initialized,61,61,61,61,61,61
2400000,LinkedList,46,47,47,47,47,46
2400000,Vector,28,28,28,28,28,28
2400000,VectorInitialized,61,61,61,61,61,61

2450000,ArrayList,27,27,27,27,27,27
2450000,ArrayList_Initialized,61,61,61,61,61,61
2450000,LinkedList,46,47,47,47,47,46
2450000,Vector,28,28,28,28,28,28
2450000,VectorInitialized,61,61,61,61,61,61

2500000,ArrayList,27,27,27,27,27,27
2500000,ArrayList_Initialized,61,61,61,61,61,61
2500000,LinkedList,46,47,47,47,47,46
2500000,Vector,28,28,28,28,28,28
2500000,VectorInitialized,61,61,61,61,61,61

2550000,ArrayList,27,27,27,27,27,27
2550000,ArrayList_Initialized,61,61,61,61,61,61
2550000,LinkedList,46,47,47,47,47,46
2550000,Vector,28,28,28,28,28,28
2550000,VectorInitialized,61,61,61,61,61,61

2600000,ArrayList,27,27,27,27,27,27
2600000,ArrayList_Initialized,61,61,61,61,61,61
2600000,LinkedList,46,47,47,47,47,46
2600000,Vector,28,28,28,28,28,28
2600000,VectorInitialized,61,61,61,61,61,61

2650000,ArrayList,27,27,27,27,27,27
2650000,ArrayList_Initialized,61,61,61,61,61,61
2650000,LinkedList,46,47,47,47,47,46
2650000,Vector,28,28,28,28,28,28
2650000,VectorInitialized,61,61,61,61,61,61

2700000,ArrayList,27,27,27,27,27,27
2700000,ArrayList_Initialized,61,61,61,61,61,61
2700000,LinkedList,46,47,47,47,47,46
2700000,Vector,28,28,28,28,28,28
2700000,VectorInitialized,61,61,61,61,61,61

2750000,ArrayList,27,27,27,27,27,27
2750000,ArrayList_Initialized,61,61,61,61,61,61
2750000,LinkedList,46,47,47,47,47,46
2750000,Vector,28,28,28,28,28,28
2750000,VectorInitialized,61,61,61,61,61,61

2800000,ArrayList,27,27,27,27,27,27
2800000,ArrayList_Initialized,61,61,61,61,61,61
2800000,LinkedList,46,47,47,47,47,46
2800000,Vector,28,28,28,28,28,28
2800000,VectorInitialized,61,61,61,61,61,61

2850000,ArrayList,27,27,27,27,27,27
2850000,ArrayList_Initialized,61,61,61,61,61,61
2850000,LinkedList,46,47,47,47,47,46
2850000,Vector,28,28,28,28,28,28
2850000,VectorInitialized,61,61,61,61,61,61

2900000,ArrayList,27,27,27,27,27,27
2900000,ArrayList_Initialized,61,61,61,61,61,61
2900000,LinkedList,46,47,47,47,47,46
2900000,Vector,28,28,28,28,28,28
2900000,VectorInitialized,61,61,61,61,61,61

2950000,ArrayList,27,27,27,27,27,27
2950000,ArrayList_Initialized,61,61,61,61,61,61
2950000,LinkedList,46,47,47,47,47,46
2950000,Vector,28,28,28,28,28,28
2950000,VectorInitialized,61,61,61,61,61,61

3000000,ArrayList,27,27,27,27,27,27
3000000,ArrayList_Initialized,61,61,61,61,61,61
3000000,LinkedList,46,47,47,47,47,46
3000000,Vector,28,28,28,28,28,28
3000000,VectorInitialized,61,61,61,61,61,61

3050000,ArrayList,27,27,27,27,27,27
3050000,ArrayList_Initialized,61,61,61,61,61,61
3050000,LinkedList,46,47,47,47,47,46
3050000,Vector,28,28,28,28,28,28
3050000,VectorInitialized,61,61,61,61,61,61

3100000,ArrayList,27,27,27,27,27,27
3100000,ArrayList_Initialized,61,61,61,61,61,61
3100000,LinkedList,46,47,47,47,47,46
3100000,Vector,28,28,28,28,28,28
3100000,VectorInitialized,61,61,61,61,61,61

3150000,ArrayList,27,27,27,27,27,27
3150000,ArrayList_Initialized,61,61,61,61,61,61
3150000,LinkedList,46,47,47,47,47,46
3150000,Vector,28,28,28,28,28,28
3150000,VectorInitialized,61,61,61,61,61,61

3200000,ArrayList,27,27,27,27,27,27
3200000,ArrayList_Initialized,61,61,61,61,61,61
3200000,LinkedList,46,47,47,47,47,46
3200000,Vector,28,28,28,28,28,28
3200000,VectorInitialized,61,61,61,61,61,61

3250000,ArrayList,27,27,27,27,27,27
3250000,ArrayList_Initialized,61,61,61,61,61,61
3250000,LinkedList,46,47,47,47,47,46
3250000,Vector,28,28,28,28,28,28
3250000,VectorInitialized,61,61,61,61,61,61

3300000,ArrayList,27,27,27,27,27,27
3300000,ArrayList_Initialized,61,61,61,61,61,61
3300000,LinkedList,46,47,47,47,47,46
3300000,Vector,28,28,28,28,28,28
3300000,VectorInitialized,61,61,61,61,61,61

3350000,ArrayList,27,27,27,27,27,27
3350000,ArrayList_Initialized,61,61,61,61,61,61
3350000,LinkedList,46,47,47,47,47,46
3350000,Vector,28,28,28,28,28,28
3350000,VectorInitialized,61,61,61,61,61,61

3400000,ArrayList,27,27,27,27,27,27
3400000,ArrayList_Initialized,61,61,61,61,61,61
3400000,LinkedList,46,47,47,47,47,46
3400000,Vector,28,28,28,28,28,28
3400000,VectorInitialized,61,61,61,61,61,61

3450000,ArrayList,27,27,27,27,27,27
3450000,ArrayList_Initialized,61,61,61,61,61,61
3450000,LinkedList,46,47,47,47,47,46
3450000,Vector,28,28,28,28,28,28
3450000,VectorInitialized,61,61,61,61,61,61

3500000,ArrayList,27,27,27,27,27,27
3500000,ArrayList_Initialized,61,61,61,61,61,61
3500000,LinkedList,46,47,47,47,47,46
3500000,Vector,28,28,28,28,28,28
3500000,VectorInitialized,61,61,61,61,61,61

3550000,ArrayList,27,27,27,27,27,27
3550000,ArrayList_Initialized,61,61,61,61,61,61
3550000,LinkedList,46,47,47,47,47,46
3550000,Vector,28,28,28,28,28,28
3550000,VectorInitialized,61,61,61,61,61,61

3600000,ArrayList,27,27,27,27,27,27
3600000,ArrayList_Initialized,61,61,61,61,61,61
3600000,LinkedList,46,47,47,47,47,46
3600000,Vector,28,28,28,28,28,28
3600000,VectorInitialized,61,61,61,61,61,61

3650000,ArrayList,27,27,27,27,27,27
3650000,ArrayList_Initialized,61,61,61,61,61,61
3650000,LinkedList,46,47,47,47,47,46
3650000,Vector,28,28,28,28,28,28
3650000,VectorInitialized,61,61,61,61,61,61

3700000,ArrayList,27,27,27,27,27,27
3700000,ArrayList_Initialized,61,61,61,61,61,61
3700000,LinkedList,46,47,47,47,47,46
3700000,Vector,28,28,28,28,28,28
3700000,VectorInitialized,61,61,61,61,61,61

3750000,ArrayList,27,27,27,27,27,27
3750000,ArrayList_Initialized,61,61,61,61,61,61
3750000,LinkedList,46,47,47,47,47,46
3750000,Vector,28,28,28,28,28,28
3750000,VectorInitialized,61,61,61,61,61,61

3800000,ArrayList,27,27,27,27,27,27
3800000,ArrayList_Initialized,61,61,61,61,61,61
3800000,LinkedList,46,47,47,47,47,46
3800000,Vector,28,28,28,28,28,28
3800000,VectorInitialized,61,61,61,61,61,61

3850000,ArrayList,27,27,27,27,27,27
3850000,ArrayList_Initialized,61,61,61,61,61,61
3850000,LinkedList,46,47,47,47,47,46
3850000,Vector,28,28,28,28,28,28
3850000,VectorInitialized,61,61,61,61,61,61

3900000,ArrayList,27,27,27,27,27,27
3900000,ArrayList_Initialized,61,61,61,61,61,61
3900000,LinkedList,46,47,47,47,47,46
3900000,Vector,28,28,28,28,28,28
3900000,VectorInitialized,61,61,61,61,61,61

3950000,ArrayList,27,27,27,27,27,27
3950000,ArrayList_Initialized,61,61,61,61,61,61
3950000,LinkedList,46,47,47,47,47,46
3950000,Vector,28,28,28,28,28,28
3950000,VectorInitialized,61,61,61,61,61,61

4000000,ArrayList,27,27,27,27,27,27
4000000,ArrayList_Initialized,61,61,61,61,61,61
4000000,LinkedList,46,47,47,47,47,46
4000000,Vector,28,28,28,28,28,28
4000000,VectorInitialized,61,61,61,61,61,61

4050000,ArrayList,27,27,27,27,27,27
4050000,ArrayList_Initialized,61,61,61,61,61,61
4050000,LinkedList,46,47,47,47,47,46
4050000,Vector,28,28,28,28,28,28
4050000,VectorInitialized,61,61,61,61,61,61

4100000,ArrayList,27,27,27,27,27,27
4100000,ArrayList_Initialized,61,61,61,61,61,61
4100000,LinkedList,46,47,47,47,47,46
4100000,Vector,28,28,28,28,28,28
4100000,VectorInitialized,61,61,61,61,61,61

4150000,ArrayList,27,27,27,27,27,27
4150000,ArrayList_Initialized,61,61,61,61,61,61
4150000,LinkedList,46,47,47,47,47,46
4150000,Vector,28,28,28,28,28,28
4150000,VectorInitialized,61,61,61,61,61,61

4200000,ArrayList,27,27,27,27,27,27
4200000,ArrayList_Initialized,61,61,61,61,61,61
4200000,LinkedList,46,47,47,47,47,46
4200000,Vector,28,28,28,28,28,28
4200000,VectorInitialized,61,61,61,61,61,61

4250000,ArrayList,27,27,27,27,27,27
4250000,ArrayList_Initialized,61,61,61,61,61,61
4250000,LinkedList,46,47,47,47,47,46
4250000,Vector,28,28,28,28,28,28
4250000,VectorInitialized,61,61,61,61,61,61

4300000,ArrayList,27,27,27,27,27,27
4300000,ArrayList_Initialized,61,61,61,61,61,61
4300000,LinkedList,46,47,47,47,47,46
4300000,Vector,28,28,28,28,28,28
4300000,VectorInitialized,61,61,61,61,61,61

