ID,NumberOfIntegers,DataStructure,insert(),insertAt(),contains(),indexOf(),get(),delete()
169,1750000,Vector_Initialized,15.24,1009.24,30.57,29.25,0.02,1006.81
170,1800000,ArrayList,19.35,1017.37,32.95,27.84,0.01,1133.25
171,1800000,ArrayList_Initialized,13.97,1136.87,42.93,39.21,0.01,1021.91
172,1800000,LinkedList,11.05,60.8,96.01,108.84,67.73,0.06
173,1800000,Vector,14.76,996.94,30.76,32.62,0.02,1056.91
174,1800000,Vector_Initialized,15.26,1001.19,31.73,32.03,0.02,1020.74
175,1850000,ArrayList,14.82,985.85,29.43,28.25,0.01,986.76
176,1850000,ArrayList_Initialized,15,992.96,30.56,30.17,0.01,1006.82
177,1850000,LinkedList,12.78,60.6,92.52,101.82,64.92,0.05
178,1850000,Vector,21.16,987.52,30.16,28.88,0.02,994.02
179,1850000,Vector_Initialized,16.21,990.48,33.06,30.96,0.02,995.26
180,1900000,ArrayList,26.81,1072.7,28.99,30.28,0.01,968.48
181,1900000,ArrayList_Initialized,15.93,976.66,34.77,31.22,0.01,978.17
182,1900000,LinkedList,16.23,61.04,92.72,91.72,60.35,0.05
183,1900000,Vector,23.37,1015.67,34.04,36,0.02,1011.68
184,1900000,Vector_Initialized,14.58,1137.8,32.02,35.33,0.05,1081.13
185,1950000,ArrayList,10.98,1084.82,30.91,34.76,0.01,1228.64
186,1950000,ArrayList_Initialized,17.28,1299.91,45.35,36.3,0.01,1152.15
187,1950000,LinkedList,11.16,71.72,105.47,107.12,73.06,0.04
188,1950000,Vector,17.83,1186.9,46.24,45.24,0.06,1190.91
189,1950000,Vector_Initialized,15.72,1047.38,34.54,33.58,0.02,1016.18
190,2000000,ArrayList,27.59,974.95,31.83,30.06,0.01,972.3
191,2000000,ArrayList_Initialized,19.9,1029.62,50.6,45.74,0.01,1106.19
192,2000000,LinkedList,284.27,83.53,127.04,116.63,74.12,0.07
193,2000000,Vector,10.44,1675.16,45.67,43.76,0.03,1429.46
194,2000000,Vector_Initialized,10.84,1349.35,39.95,38.82,0.04,1236.53
195,2050000,ArrayList,19.78,1228.67,36.99,35.16,0.01,1166.25
196,2050000,ArrayList_Initialized,10.92,1095.27,32.56,31.83,0.01,1084.48
197,2050000,LinkedList,11.27,73.71,101.55,104.71,69.61,0.08
198,2050000,Vector,13.2,1078.6,37.09,36.56,0.03,1266.51
199,2050000,Vector_Initialized,19.43,1219.32,37.35,38.91,0.03,1216.1
200,2100000,ArrayList,32.51,1249.03,37.4,36.55,0.01,1136.11
201,2100000,ArrayList_Initialized,25.08,1115.89,33.17,32.86,0.01,1081.84
202,2100000,LinkedList,167.16,84.7,114.1,102.85,66.16,0.06
203,2100000,Vector,9.81,1029.21,33.11,33.3,0.02,1091.07
204,2100000,Vector_Initialized,10.85,1063.15,31.55,31.26,0.02,1026.91
205,2150000,ArrayList,88.96,1068.18,32.11,29.8,0.01,1045.19
206,2150000,ArrayList_Initialized,9.21,1022.52,29.55,30.04,0.01,1024.69
207,2150000,LinkedList,9.52,68.44,95.37,97.63,63.74,0.04
208,2150000,Vector,12.04,1024.5,30.89,31.56,0.02,997.06
209,2150000,Vector_Initialized,9.15,1044.3,30.45,30.11,0.02,1024.99
210,2200000,ArrayList,10.69,1007.05,30.2,29.4,0.01,1072.64
211,2200000,ArrayList_Initialized,9.27,1050.83,31.02,30.69,0.01,1031.94
212,2200000,LinkedList,9.07,77.75,104.34,97.65,63.6,0.06
213,2200000,Vector,10.02,1007.84,31.93,29.59,0.02,1019.29
214,2200000,Vector_Initialized,10.13,1025.75,32.18,30.78,0.02,1070.81
215,2250000,ArrayList,14.41,1041.79,32.39,31.41,0.01,1081.47
216,2250000,ArrayList_Initialized,13.58,1064.09,30.27,30.06,0.01,1023.68
