ID,NumberOfIntegers,DataStructure,insert(),insertAt(),contains(),indexOf(),get(),delete()
365,3750000,ArrayList,21.61,1033.08,30.11,29.67,0.01,1027.63
366,3750000,ArrayList_Initialized,19.3,1021.6,30.11,30.18,0.01,1022.13
367,3750000,LinkedList,21.09,68.01,96.44,96.3,63.26,0.06
368,3750000,Vector,24.49,999.05,29.84,30.88,0.02,1008.07
369,3750000,Vector_Initialized,23.37,1021.63,32.07,31.31,0.02,1023.72
370,3800000,ArrayList,22.57,1077.53,30.18,29.73,0.01,1029.98
371,3800000,ArrayList_Initialized,19.74,1017.85,30.84,30.36,0.01,1022.32
372,3800000,LinkedList,201,85.97,115.11,102.88,68.84,0.09
373,3800000,Vector,9.27,1012.54,30.62,30.23,0.02,1014.88
374,3800000,Vector_Initialized,8.5,1014.11,31.8,31.65,0.02,1024.67
375,3850000,ArrayList,22.98,1048.15,29.74,30.2,0.01,1071.13
376,3850000,ArrayList_Initialized,21.46,1029.07,30.67,30.12,0.01,1063.05
377,3850000,LinkedList,192.89,87.21,114.49,103.68,66.82,0.06
378,3850000,Vector,143.4,1052.05,29.9,30.15,0.02,1014.51
379,3850000,Vector_Initialized,9.74,1010.71,30.38,32.09,0.03,1016.08
380,3900000,ArrayList,22.14,1003.14,30.19,30.07,0.01,1002.3
381,3900000,ArrayList_Initialized,19.77,1017.68,30.11,30.07,0.01,1022.41
382,3900000,LinkedList,21.64,70,104.17,109.67,69.72,0.06
383,3900000,Vector,26.26,1053.24,31.72,31.24,0.02,1026.1
384,3900000,Vector_Initialized,22.88,1020.75,32.51,32.42,0.02,1012.76
385,3950000,ArrayList,20.82,1030.51,35.79,37.6,0.01,1091.04
386,3950000,ArrayList_Initialized,19.39,1015.85,30.45,29.58,0.02,1019.03
387,3950000,LinkedList,21.03,69,95.45,95.03,62.21,0.04
388,3950000,Vector,27.3,1060.29,31.84,32.51,0.05,1026.92
389,3950000,Vector_Initialized,22.97,1015.63,32.53,30.57,0.03,1057.47
390,4000000,ArrayList,23.9,1080.36,34.79,34.39,0.01,1072.5
391,4000000,ArrayList_Initialized,18.82,1021.87,32.29,32.6,0.01,1022.71
392,4000000,LinkedList,8.12,86.1,111.75,101.42,67.09,0.06
393,4000000,Vector,10.42,1020.45,31.03,32.99,0.03,1030.36
394,4000000,Vector_Initialized,8.72,1004.98,30.93,32.63,0.03,1009.94
395,4050000,ArrayList,21.27,1023.05,32.17,30.89,0.01,1006.13
396,4050000,ArrayList_Initialized,19.87,1006,30.62,31.5,0.01,1056.47
397,4050000,LinkedList,24.32,71.3,99.92,102.93,67.54,0.09
398,4050000,Vector,25.5,1050.06,31.88,32.64,0.02,1025.84
399,4050000,Vector_Initialized,14.08,1092.17,30.89,31.92,0.02,1017.17
400,4100000,ArrayList,16.86,1002.38,30.89,28.79,0.02,1015.55
401,4100000,ArrayList_Initialized,14.51,1016.65,29.5,29.54,0.01,1025.39
402,4100000,LinkedList,15.26,68.27,98.17,95.62,63.07,0.03
403,4100000,Vector,18.33,987.29,29.73,29.97,0.02,1009.17
404,4100000,Vector_Initialized,16.38,1016.04,34.15,31.61,0.03,1014.57
405,4150000,ArrayList,20.77,993.89,31.49,31.1,0.01,1009.32
406,4150000,ArrayList_Initialized,24.83,1023.23,30.53,30.24,0.01,1021.09
407,4150000,LinkedList,400.86,83.57,116.26,105.56,67.96,0.06
408,4150000,Vector,8.68,1004.5,30.65,33.04,0.03,1027.83
409,4150000,Vector_Initialized,9.4,1018.87,30.77,31.25,0.02,1019.62
410,4200000,ArrayList,20.31,1009.32,32.37,27.39,0.01,1010.09
411,4200000,ArrayList_Initialized,20.45,1044.34,30.63,30.4,0.01,1027.52
412,4200000,LinkedList,20.65,68.31,97.25,94.79,63.09,0.07
413,4200000,Vector,24.29,988.39,32.96,32.08,0.02,1017.13
414,4200000,Vector_Initialized,22.38,1015.22,31.16,31.39,0.02,1026.97
415,4250000,ArrayList,14.52,1029.72,30.46,30.02,0.01,1022.58
416,4250000,ArrayList_Initialized,12.77,1019.4,29.95,29.87,0.01,1066.94
417,4250000,LinkedList,12.03,70.13,98.42,94.69,62.73,0.05
418,4250000,Vector,16.01,992.16,31.17,30.59,0.02,1020.19
419,4250000,Vector_Initialized,15.68,1053.05,31.66,30.85,0.02,1018.56
420,4300000,ArrayList,15.58,996.6,30.44,29.76,0.01,1012.57
421,4300000,ArrayList_Initialized,14.43,1017.3,29.37,30.24,0.01,1022.41
422,4300000,LinkedList,13.32,69.42,98.08,93.27,63.21,0.06
423,4300000,Vector,15.91,987.22,31.28,32.22,0.02,1012.49
424,4300000,Vector_Initialized,15.63,1022.19,31,30.65,0.02,1015.7
425,4350000,ArrayList,18.16,1021.95,29.32,29.82,0.01,1029.72
426,4350000,ArrayList_Initialized,16.39,1012.84,29.82,29.36,0.01,1043.41
427,4350000,LinkedList,17.39,72.1,100.07,99.62,66.59,0.05
428,4350000,Vector,20.09,992.09,31.58,31.12,0.02,1020.43
429,4350000,Vector_Initialized,19.28,1018.31,33.14,33.2,0.02,1020.18
430,4400000,ArrayList,11.92,1037.58,30.58,30.37,0.01,1004
431,4400000,ArrayList_Initialized,9.23,1011.69,30.75,29.76,0.01,1050.76
432,4400000,LinkedList,8.19,70.16,98.15,95.73,62.59,0.05
433,4400000,Vector,10.89,989.68,30.07,30.26,0.03,1010.06
434,4400000,Vector_Initialized,10.4,1090.49,35.88,36.25,0.02,1097.91
435,4450000,ArrayList,14.11,994.36,30.17,29.65,0.01,1142.38
436,4450000,ArrayList_Initialized,16.84,1137.79,33.3,33.38,0.01,1121.74
437,4450000,LinkedList,14.24,71.03,99.24,94.89,64.09,0.05
438,4450000,Vector,17.41,1011.15,32.42,32.14,0.02,1016.17
439,4450000,Vector_Initialized,15.87,1041.88,32.36,32.48,0.02,1020.6
440,4500000,ArrayList,12.69,1009.12,29.44,29.52,0.01,1030.65
441,4500000,ArrayList_Initialized,11.95,1022.36,29.91,29.21,0.01,1025.32
442,4500000,LinkedList,10.75,67.65,95.86,97.09,62.49,0.05
443,4500000,Vector,13.37,1013.35,30.26,31.76,0.02,1018.76
444,4500000,Vector_Initialized,13.36,1012.56,32.46,30.62,0.02,1010.09
445,4550000,ArrayList,15.31,1013.78,28.54,29.06,0.01,1012.55
446,4550000,ArrayList_Initialized,14.27,1003.48,29.46,30.32,0.01,1017.25
447,4550000,LinkedList,14.17,68.15,96.33,94.7,63.23,0.05
448,4550000,Vector,17.15,998.58,31.49,30.14,0.02,1052.95
449,4550000,Vector_Initialized,15.71,1033.04,33.38,32.94,0.03,1039.46
450,4600000,ArrayList,16.94,1034.62,30.18,30.04,0.01,1023.79
451,4600000,ArrayList_Initialized,15.84,1020.64,30.41,29.65,0.01,1021.21
452,4600000,LinkedList,15.85,67.99,95.77,95.2,62.78,0.06
453,4600000,Vector,18.12,1014.12,30.19,31.22,0.02,1005.48
454,4600000,Vector_Initialized,19.34,1026.11,31.07,31.43,0.02,1028.76
455,4650000,ArrayList,20.06,1022.47,34.82,33.82,0.01,1050.12
456,4650000,ArrayList_Initialized,18.4,1030.79,33.61,32.68,0.01,1022.84
457,4650000,LinkedList,189.08,86.02,114.9,103.12,66.96,0.05
458,4650000,Vector,10.5,1010.13,30.31,30.35,0.02,1025.84
459,4650000,Vector_Initialized,24.48,1066.1,30.91,31.74,0.02,1010.36
460,4700000,ArrayList,21.12,1014.05,30.78,30.91,0.01,1030.02
461,4700000,ArrayList_Initialized,19.16,1019.19,29.44,28.94,0.01,1021.83
462,4700000,LinkedList,22.23,62.96,95.67,97.3,62.58,0.05
463,4700000,Vector,23.44,996.24,33.56,32.49,0.02,1025.09
464,4700000,Vector_Initialized,21.71,1012.13,33.23,32.81,0.02,1019.11
465,4750000,ArrayList,21.39,1025.47,30.03,30.14,0.01,1023.4
466,4750000,ArrayList_Initialized,19.76,1025.64,30.48,29.93,0.01,1022.59
467,4750000,LinkedList,19.75,67.81,96.16,96.3,62.03,0.05
468,4750000,Vector,23.07,1001.72,29.82,31.98,0.02,1016.74
469,4750000,Vector_Initialized,21.43,1029.4,35.03,33.74,0.05,1077.55
470,4800000,ArrayList,12.74,1042.66,31.05,30.8,0.01,1028.18
471,4800000,ArrayList_Initialized,11.2,986.24,30.9,30.53,0.01,1039.18
472,4800000,LinkedList,12.88,63.75,96.82,95.92,63.72,0.05
473,4800000,Vector,13.49,1000.37,32.01,31.9,0.04,1002.05
474,4800000,Vector_Initialized,12.58,991.05,31.25,31.19,0.02,1129.2
475,4850000,ArrayList,14.5,1171.32,30.66,30.84,0.01,1108.54
476,4850000,ArrayList_Initialized,10.53,1074.65,31,30.59,0.01,1622.29
477,4850000,LinkedList,13.91,101.74,135.8,114.99,75.76,0.08
478,4850000,Vector,12.67,1095.98,35.59,34.32,0.02,1022.28
479,4850000,Vector_Initialized,15,1126.28,35.76,34.03,0.02,1042.92
480,4900000,ArrayList,23.94,1075.32,31.81,32.01,0.01,1003.04
481,4900000,ArrayList_Initialized,19.78,1011.64,29.82,29.68,0.01,1017.48
482,4900000,LinkedList,22.34,68.48,97.53,94.89,62.04,0.05
483,4900000,Vector,23.81,1000.39,29.88,29.29,0.02,1025.64
484,4900000,Vector_Initialized,22.48,1014.2,33.19,31.78,0.02,1038.62
485,4950000,ArrayList,20.29,1005.99,36.39,36.21,0.01,1061.7
486,4950000,ArrayList_Initialized,18.46,1040.17,33.51,33.2,0.01,1074.53
487,4950000,LinkedList,40.71,77.17,100.41,95.64,62.66,0.05
488,4950000,Vector,21.05,1020.12,29.21,29.51,0.02,1043.51
489,4950000,Vector_Initialized,23.66,1037.12,30.12,31.09,0.03,1033.1
490,5000000,ArrayList,11.61,1024.43,29.69,30.28,0.01,1018.55
491,5000000,ArrayList_Initialized,9.76,1057.45,32.22,30.04,0.01,1038.69
492,5000000,LinkedList,9.01,67.35,96.83,93.84,61.92,0.05
493,5000000,Vector,12.41,1008,31.84,32.79,0.02,1032.84
494,5000000,Vector_Initialized,10.61,1002.87,29.16,30.52,0.02,1008.53
495,5050000,ArrayList,20.69,995.38,30.1,30.7,0.01,1020.18
496,5050000,ArrayList_Initialized,19.58,1012.86,28.98,28.06,0.02,1003.01
497,5050000,LinkedList,184.91,79.87,97.61,95.1,62.89,0.06
498,5050000,Vector,9.93,1000.58,32.82,33.09,0.03,1034.33
499,5050000,Vector_Initialized,20.8,1031.04,32.77,32.88,0.02,1017.22
500,5100000,ArrayList,20.35,1009.24,31.29,31.4,0.01,1011.32
501,5100000,ArrayList_Initialized,19.25,1009.42,31.39,30.96,0.01,1015.32
502,5100000,LinkedList,20.76,63.28,96.17,96.05,61.76,0.05
503,5100000,Vector,24.57,1010.16,31.79,31.64,0.03,1025.42
504,5100000,Vector_Initialized,22.46,1014.21,30.25,29.51,0.02,1012.39
505,5150000,ArrayList,20.01,994.94,29,28.63,0.01,1022.42
506,5150000,ArrayList_Initialized,17.63,1005.46,32.31,31.75,0.01,1021.52
507,5150000,LinkedList,19.3,65.75,99.4,100.5,64.92,0.05
508,5150000,Vector,20.83,998.64,33.29,32.79,0.04,1037.86
509,5150000,Vector_Initialized,19.67,1009.94,33.78,34.59,0.02,1015.32
510,5200000,ArrayList,73.27,1019.73,29.1,30.09,0.01,1037.4
511,5200000,ArrayList_Initialized,8.61,1010.13,29.79,27.64,0.01,1029.67
512,5200000,LinkedList,7.67,66.39,98.97,106.75,72.5,0.06
513,5200000,Vector,10.86,1007.74,32.28,32.27,0.02,1012.35
514,5200000,Vector_Initialized,9.1,1009.92,32.56,32.44,0.02,1010.01
515,5250000,ArrayList,14.06,991.83,31.59,31.7,0.01,991.82
516,5250000,ArrayList_Initialized,14.14,997.98,29.92,31.37,0.01,1012.6
517,5250000,LinkedList,13.12,62.93,92.46,93.86,61.85,0.06
518,5250000,Vector,15.7,1030.92,33.31,33.49,0.04,1022.96
519,5250000,Vector_Initialized,14.16,1017.57,31.66,32.13,0.02,1002.98
520,5300000,ArrayList,12.64,989.5,30.92,31.75,0.01,1007.3
521,5300000,ArrayList_Initialized,10.96,993.87,31.89,31.79,0.01,1021.36
522,5300000,LinkedList,9.65,61.81,94.32,92,61.85,0.05
523,5300000,Vector,69.27,1022.77,30.01,30.16,0.02,1012.27
524,5300000,Vector_Initialized,8.63,1003.97,30.72,31.69,0.02,1019.02
525,5350000,ArrayList,21.48,1028,29.73,29.65,0.01,1016.14
526,5350000,ArrayList_Initialized,18.63,1007.14,31.5,31.35,0.01,1034.88
527,5350000,LinkedList,21.51,64.83,95.41,94.84,61.28,0.04
528,5350000,Vector,23.21,1009.37,32.8,33.82,0.03,1014.03
529,5350000,Vector_Initialized,22.12,1003.14,32.49,30.74,0.03,1020.02
530,5400000,ArrayList,19.31,999.39,33.68,34.33,0.01,1016.49
531,5400000,ArrayList_Initialized,16.93,1007.98,31.87,28.57,0.01,1016.65
532,5400000,LinkedList,16.82,63.66,96.31,98.66,63.51,0.05
533,5400000,Vector,22.87,1001,33.52,32.69,0.03,1006.39
534,5400000,Vector_Initialized,18.25,1003.87,29.8,30.14,0.02,1020.64
535,5450000,ArrayList,12.93,1017.8,28.18,29.74,0.01,1004.71
536,5450000,ArrayList_Initialized,11.42,1020.8,31.41,31.93,0.01,1006.7
537,5450000,LinkedList,11.01,62.67,92.46,91.53,61.09,0.05
538,5450000,Vector,13.35,1006.28,30.38,29.63,0.02,1007.87
539,5450000,Vector_Initialized,11.48,993.86,30,30.05,0.02,1024.12
540,5500000,ArrayList,21.08,1013.89,30.95,32.04,0.01,1001.88
541,5500000,ArrayList_Initialized,18.54,1000.89,29.94,31.01,0.01,1036
542,5500000,LinkedList,228.59,73.91,98.29,95.74,61.64,0.05
543,5500000,Vector,9.7,1024.68,31.05,31.08,0.02,1001.81
544,5500000,Vector_Initialized,8.48,1006.97,32.41,32.99,0.02,1018.03
545,5550000,ArrayList,21.68,984.54,30.42,30.18,0.01,1013.6
546,5550000,ArrayList_Initialized,21.34,1016.74,30,31.27,0.01,1014.41
547,5550000,LinkedList,21.4,62.86,95.55,95.36,61.58,0.05
548,5550000,Vector,22.54,997.79,31.75,32.58,0.02,1005.95
549,5550000,Vector_Initialized,22.74,1009.29,30.3,32.85,0.02,1015.71
550,5600000,ArrayList,14.92,1006.72,28.92,29.52,0.02,1010.83
551,5600000,ArrayList_Initialized,13.58,1023.64,31.5,31.6,0.01,1019.12
552,5600000,LinkedList,12.66,61.92,95.66,95.86,62.35,0.05
553,5600000,Vector,16.72,993.81,28.78,29.27,0.02,995.65
554,5600000,Vector_Initialized,15.52,1005.3,30.18,30.39,0.03,1015.63
555,5650000,ArrayList,11.28,1012.99,28.56,31.34,0.01,1005.3
556,5650000,ArrayList_Initialized,9.95,994.97,30.13,29.85,0.01,1020.57
557,5650000,LinkedList,8.77,63.18,94.38,95.01,63.55,0.05
558,5650000,Vector,11.8,1006.2,32.58,32.99,0.02,1014.91
559,5650000,Vector_Initialized,12.3,1018.86,32.66,32.71,0.02,998.06
560,5700000,ArrayList,20.12,1005.19,29.15,30.4,0.01,1017.02
561,5700000,ArrayList_Initialized,19.23,1034.71,29.2,30.14,0.01,1024.65
562,5700000,LinkedList,19.91,62.31,95.91,94.42,60.82,0.05
563,5700000,Vector,24.59,997.08,30.76,31.34,0.03,1009.57
564,5700000,Vector_Initialized,22.39,1002.76,32.96,30.99,0.02,1000.79
565,5750000,ArrayList,16.75,999.21,29.12,30.2,0.01,1010.31
566,5750000,ArrayList_Initialized,13.15,1177.9,29.15,30.01,0.01,1152.69
567,5750000,LinkedList,14.17,63.13,95.49,94.31,62.75,0.04
568,5750000,Vector,16.01,1004.91,30.59,28.92,0.02,1003.3
569,5750000,Vector_Initialized,15.09,1008.48,31.33,30.8,0.02,1029.47
570,5800000,ArrayList,19.53,1007.68,29.03,31.26,0.01,997.03
571,5800000,ArrayList_Initialized,17.61,997.81,29.5,29.63,0.01,1002.71
572,5800000,LinkedList,19.06,63.15,97.26,96.92,62.95,0.05
573,5800000,Vector,21.09,1025.64,30.77,30.47,0.02,1016.5
574,5800000,Vector_Initialized,19.82,991.74,30.31,31.3,0.02,1020.19
575,5850000,ArrayList,16.87,1030.12,28.68,27.78,0.01,1015.74
576,5850000,ArrayList_Initialized,16.06,1007.57,29.41,30.13,0.01,1000.95
577,5850000,LinkedList,15.5,64.04,98.68,97.16,64.36,0.05
578,5850000,Vector,17.77,995.09,28.76,32.07,0.02,1012.72
579,5850000,Vector_Initialized,16.93,998.5,30.29,30.85,0.02,1014.35
580,5900000,ArrayList,20.1,1012.45,31.24,31.76,0.01,1009.11
581,5900000,ArrayList_Initialized,16.77,1007.31,33.35,33.02,0.01,1020.98
582,5900000,LinkedList,17.59,65.76,98.98,93.97,64.14,0.05
583,5900000,Vector,20.23,1012.13,29.7,32.04,0.02,1011.41
584,5900000,Vector_Initialized,14.16,1012.38,31.38,32.04,0.02,1009.72
585,5950000,ArrayList,11.46,1018.79,31.55,34.03,0.01,1040.11
586,5950000,ArrayList_Initialized,9.5,1036.78,31.41,31.58,0.01,1030.73
587,5950000,LinkedList,8.33,61.94,93.95,95.2,61.21,0.05
588,5950000,Vector,11.43,1020.99,33.52,32.63,0.02,1039.93
589,5950000,Vector_Initialized,9.75,1008.66,31.13,30.1,0.02,1013.26
590,6000000,ArrayList,22.83,1005.49,29.92,27.41,0.01,1019.5
591,6000000,ArrayList_Initialized,19.65,1009.71,29.87,30.33,0.01,1025.68
592,6000000,LinkedList,20.75,63.6,96.19,95.47,63.38,0.05
593,6000000,Vector,22.72,1017.79,30.78,30.29,0.02,1013.79
594,6000000,Vector_Initialized,21.92,1012.69,32.67,32.58,0.02,1016.21
595,6050000,ArrayList,19.39,1014.93,29.6,27.79,0.01,1012.56
596,6050000,ArrayList_Initialized,18.22,1021.55,30.78,30.98,0.01,1013.58
597,6050000,LinkedList,19.6,62.46,96.11,92.59,62.3,0.05
598,6050000,Vector,21.81,1004.04,28.95,29.51,0.03,1010.64
599,6050000,Vector_Initialized,21.4,1003.38,29.29,29.68,0.02,1011.45
600,6100000,ArrayList,75.79,1031.06,31.48,32.02,0.01,1023.08
601,6100000,ArrayList_Initialized,8.77,1000.76,28.9,29.89,0.01,1014.03
602,6100000,LinkedList,6,62.87,93.79,94.57,61.3,0.05
603,6100000,Vector,9.85,1001.52,32.19,31.99,0.02,1030.3
604,6100000,Vector_Initialized,9.03,1021.6,28.51,31.57,0.02,1016.08
605,6150000,ArrayList,15.69,1003.04,31,31.63,0.01,1012.84
606,6150000,ArrayList_Initialized,14.75,1022.99,28.7,31.01,0.01,1009.97
607,6150000,LinkedList,14.08,61.94,95.87,96.26,62.4,0.05
608,6150000,Vector,17.19,1012.2,30.78,32.92,0.02,1027.05
609,6150000,Vector_Initialized,19.36,1010.93,32.75,32.91,0.02,1010.24
610,6200000,ArrayList,15.12,1020.89,33.13,31.92,0.01,1025.63
611,6200000,ArrayList_Initialized,13.39,997.02,31.47,31.24,0.01,1033.63
612,6200000,LinkedList,14.6,65.36,96.39,97.89,64.17,0.05
613,6200000,Vector,16.65,1006.77,32.57,32.59,0.02,1016.39
614,6200000,Vector_Initialized,15.12,1011.47,30.65,30.45,0.02,1010.57
615,6250000,ArrayList,15.79,1011.09,29.67,30.55,0.01,1010.34
616,6250000,ArrayList_Initialized,12.51,1033.46,27.9,27.87,0.01,1003.23
617,6250000,LinkedList,7.05,66.1,94.35,95.63,62.86,0.05
618,6250000,Vector,10.11,1038.14,33.05,31.71,0.02,1004.73
619,6250000,Vector_Initialized,9.32,998.77,32.15,32.17,0.03,1008.58
620,6300000,ArrayList,11.55,1007.71,31.56,31.18,0.01,1004.94
621,6300000,ArrayList_Initialized,9.95,996.57,31.31,28.67,0.01,1020.46
622,6300000,LinkedList,9.29,63.08,93.41,93.03,61.93,0.05
623,6300000,Vector,11.8,999.47,32.14,32.13,0.02,1017.77
624,6300000,Vector_Initialized,11.44,1002.57,32.02,32.12,0.02,998.69
625,6350000,ArrayList,20.35,1006.91,33.98,31.19,0.01,1011.44
626,6350000,ArrayList_Initialized,18.68,983.96,28.48,28.5,0.01,988.45
627,6350000,LinkedList,20.12,62.39,90.65,94.02,61.28,0.05
628,6350000,Vector,23.43,1000.4,30.71,31.83,0.02,995.97
629,6350000,Vector_Initialized,22.08,1002.04,30.52,30.91,0.02,993.88
630,6400000,ArrayList,19.11,995.68,30.75,31.41,0.01,1007.47
631,6400000,ArrayList_Initialized,18.11,994.23,35.38,32.54,0.01,994.07
632,6400000,LinkedList,19.52,64.46,94.61,93.02,61.96,0.06
633,6400000,Vector,21.08,1043.2,32.45,33.05,0.02,1024.59
634,6400000,Vector_Initialized,14.35,1026.48,32.4,32.39,0.02,998.98
635,6450000,ArrayList,11.3,1018.54,28.88,28.99,0.01,1030.74
636,6450000,ArrayList_Initialized,9.18,1007.12,29.13,30.96,0.01,1004.82
637,6450000,LinkedList,8.14,63.87,94.55,91.62,61.39,0.05
638,6450000,Vector,10.77,994.92,30.59,29.13,0.02,1004.87
639,6450000,Vector_Initialized,10.73,999.87,31.76,31.66,0.02,1011.65
640,6500000,ArrayList,23.03,1004.83,29.47,27.73,0.01,1001.67
641,6500000,ArrayList_Initialized,18.9,1015.15,29.6,30.04,0.01,1015.45
642,6500000,LinkedList,20.66,62.39,99.05,99.81,63.65,0.05
643,6500000,Vector,28.4,1006.81,31.71,29.86,0.02,1004.92
644,6500000,Vector_Initialized,22.02,1019.37,32.31,30.16,0.02,1037.8
645,6550000,ArrayList,17.67,1021.31,30.2,29.36,0.01,1004.89
646,6550000,ArrayList_Initialized,15.98,1011,31.34,29.05,0.01,1015.73
647,6550000,LinkedList,17.02,65.53,99.21,99.75,65.81,0.06
648,6550000,Vector,20.09,1037.17,31.75,30.04,0.02,1013.35
649,6550000,Vector_Initialized,14,1016,32.9,33.4,0.03,1010.86
650,6600000,ArrayList,11.03,1027.65,29.81,31.36,0.01,1029.61
651,6600000,ArrayList_Initialized,9.01,1012.76,31.29,30.91,0.01,1067.08
652,6600000,LinkedList,8.01,63.9,94.07,93.39,61.86,0.05
653,6600000,Vector,11.99,1032.58,31.94,32.64,0.02,1015.18
654,6600000,Vector_Initialized,10.33,1010.9,31.34,33.29,0.02,1022.8
655,6650000,ArrayList,21.05,999.27,31.69,31.35,0.01,1009.23
656,6650000,ArrayList_Initialized,19.81,1000.21,29.13,30.95,0.01,1010.13
657,6650000,LinkedList,20.74,62.76,99.38,101.1,64.75,0.05
658,6650000,Vector,28.08,1036.27,30.5,30.28,0.02,1181.99
659,6650000,Vector_Initialized,35.99,1065.18,34.23,32.65,0.02,1040.49
660,6700000,ArrayList,20.51,1000.34,29.12,28.78,0.01,994.59
661,6700000,ArrayList_Initialized,19.25,998.55,28.34,29.41,0.01,990.97
662,6700000,LinkedList,162,73.08,100.27,95.06,62.15,0.07
663,6700000,Vector,10.5,1000.68,30.11,30.17,0.04,1022.75
664,6700000,Vector_Initialized,8.12,989.81,29.94,31.32,0.02,997.75
665,6750000,ArrayList,75.28,1023.61,31,28.83,0.01,1014.6
666,6750000,ArrayList_Initialized,8.21,989.69,31.21,31.29,0.01,1014.33
667,6750000,LinkedList,7.2,63.59,96.87,95.78,61.96,0.04
668,6750000,Vector,9.65,1000.51,32.56,29.32,0.02,986.56
669,6750000,Vector_Initialized,8.36,1007.54,29.95,32.92,0.02,1003.57
670,6800000,ArrayList,15.52,1017.16,29.08,28.65,0.01,1011.72
671,6800000,ArrayList_Initialized,13.69,1012.8,31.58,29.85,0.01,1014.25
672,6800000,LinkedList,12.94,64.9,97.68,95.89,61.97,0.05
673,6800000,Vector,16,990.88,31.35,32.94,0.02,1035.51
674,6800000,Vector_Initialized,14.71,1013.23,31.52,30.46,0.02,1010.88
675,6850000,ArrayList,16.4,1017.39,33.84,34.66,0.01,1006.41
676,6850000,ArrayList_Initialized,13.67,1000.59,28.44,28.39,0.01,1004.39
677,6850000,LinkedList,14.74,63.16,94.42,95.63,61.52,0.05
678,6850000,Vector,17.46,1003.74,32.39,32.21,0.02,1017.02
679,6850000,Vector_Initialized,15.89,1015.38,32.87,31.75,0.02,1019.08
680,6900000,ArrayList,19.82,1018.15,29.99,29.58,0.01,1030.62
681,6900000,ArrayList_Initialized,15.9,1014.27,30.74,32.1,0.01,1131.89
682,6900000,LinkedList,18.86,71.15,102.92,98.28,61.65,0.05
683,6900000,Vector,19.75,1013.1,32.46,32.16,0.02,1049.68
684,6900000,Vector_Initialized,22.48,1023.1,33.13,33.06,0.03,1015.24
685,6950000,ArrayList,17.82,1019.99,30.11,29.83,0.01,1006.93
686,6950000,ArrayList_Initialized,13.67,1000.62,31.56,31.98,0.01,1015.97
687,6950000,LinkedList,12.66,62.78,98.55,97.17,62.34,0.04
688,6950000,Vector,16.68,1013.08,30.02,30.75,0.02,1021.9
689,6950000,Vector_Initialized,14.33,1003.24,32.44,32.56,0.02,1024.17
690,7000000,ArrayList,18.1,1016.88,31.57,28.24,0.01,1006.13
691,7000000,ArrayList_Initialized,14.22,1023.69,32.34,27.59,0.01,1027.26
692,7000000,LinkedList,14.9,62.16,91.93,94.45,62.11,0.04
693,7000000,Vector,16.93,985.3,30.43,31.03,0.02,1008.54
694,7000000,Vector_Initialized,16.55,1012.35,32.5,36.68,0.02,1035.21
695,7050000,ArrayList,11.42,1002.92,31.61,31.46,0.01,996.48
696,7050000,ArrayList_Initialized,9.54,999.66,31.55,31.4,0.01,1019.22
697,7050000,LinkedList,9.44,63.06,95.54,95.52,61.78,0.05
698,7050000,Vector,12.26,1011.57,32.3,31.51,0.02,1024.14
699,7050000,Vector_Initialized,14.47,1022.34,30.97,30.9,0.02,1015.93
700,7100000,ArrayList,11.92,998.29,28.96,28.64,0.01,1018.19
701,7100000,ArrayList_Initialized,10.58,1009.54,31.61,31.28,0.01,1037.87
702,7100000,LinkedList,11.68,66.48,95.32,98.36,61.43,0.07
703,7100000,Vector,12.26,1006.3,32.51,32.32,0.02,999.65
704,7100000,Vector_Initialized,11.02,1008.85,32.11,31.13,0.02,1004.41
705,7150000,ArrayList,20.45,1006.29,31.14,31.43,0.01,1013.49
706,7150000,ArrayList_Initialized,18.81,1020.89,30.92,28.41,0.01,1001.61
707,7150000,LinkedList,20.82,62.52,96.29,94.8,62.12,0.05
708,7150000,Vector,22.51,1014.19,28.6,30.72,0.02,1023.06
709,7150000,Vector_Initialized,22.1,1008.37,31.98,32.39,0.02,1007.53
710,7200000,ArrayList,99.22,1007.32,28.42,28.24,0.01,1011.86
711,7200000,ArrayList_Initialized,7.96,1002.55,30.27,27.84,0.01,1009.73
712,7200000,LinkedList,6.3,62.45,96.36,96.26,62.12,0.05
713,7200000,Vector,9.91,1017.91,32.28,32.92,0.02,1025.98
714,7200000,Vector_Initialized,8.35,1006.31,33.01,31.87,0.02,1024.37
715,7250000,ArrayList,71.57,1008.07,28.86,28.13,0.01,1019.49
716,7250000,ArrayList_Initialized,8.7,1032.93,28.28,28.65,0.01,1024.47
717,7250000,LinkedList,7.23,62.85,95.54,91.05,60.99,0.05
718,7250000,Vector,9.62,993.84,31.66,32.53,0.02,1031.67
719,7250000,Vector_Initialized,8.26,1005.82,31.7,32.22,0.02,1035.13
720,7300000,ArrayList,22.76,1060.27,31.96,32.17,0.01,1032.27
721,7300000,ArrayList_Initialized,19.2,1041.76,31.14,33.14,0.01,992.35
722,7300000,LinkedList,20.45,62.41,96.31,96.46,62.52,0.05
723,7300000,Vector,23.95,999.74,32.88,33.74,0.02,1018.91
724,7300000,Vector_Initialized,22.08,999.84,31.01,29.7,0.02,1023.73
725,7350000,ArrayList,20.38,1017.49,28.36,28.91,0.01,1005.33
726,7350000,ArrayList_Initialized,17.56,1014.24,34.53,34.27,0.01,1026.1
