NumberOfIntegers,ArrayList_insert(),ArrayList_insertAt(),ArrayList_searchMethod1(),ArrayList_searchMethod2(),ArrayList_get(),ArrayList_delete(),ArrayList_Initialized_insert(),ArrayList_Initialized_insertAt(),ArrayList_Initialized_searchMethod1(),ArrayList_Initialized_searchMethod2(),ArrayList_Initialized_get(),ArrayList_Initialized_delete(),LinkedList_insert(),LinkedList_insertAt(),LinkedList_searchMethod1(),LinkedList_searchMethod2(),LinkedList_get(),LinkedList_delete(),Vector_insert(),Vector_insertAt(),Vector_searchMethod1(),Vector_searchMethod2(),Vector_get(),Vector_delete(),Vector_Initialized_insert(),Vector_Initialized_insertAt(),Vector_Initialized_searchMethod1(),Vector_Initialized_searchMethod2(),Vector_Initialized_get(),Vector_Initialized_delete()
1450000,26.32,1015.2,31.22,32.82,0.01,1009.38,7.49,987.74,30.54,30.3,0.01,993.88,22.92,61.63,93.74,94.18,60.37,0.05,9.12,980.55,30.97,30.87,0.02,987.01,7.97,965.78,30.1,30.17,0.02,971.13
1475000,11.68,979.06,30.02,29.75,0.01,986.59,10.27,984.29,30.44,30.1,0.01,990.83,60.39,62.35,92.22,92.35,59.96,0.05,19.29,978.31,30.46,30.35,0.02,980.84,8.42,968.1,30.14,30.05,0.02,977.29
1500000,11.77,964.32,28.72,28.46,0.01,972.99,10.21,978.13,29.84,29.52,0.01,983.93,57.85,61.76,92.3,92.74,59.89,0.04,9.64,955.59,29.22,29.3,0.02,963.29,9.04,990.75,32.55,38.25,0.02,1013.31
1525000,12.63,1017.59,31.9,31.34,0.01,1017.78,9.11,1010.79,32.82,30.93,0.01,1010.03,23.89,64.77,100.02,96.25,63.63,0.04,9.53,1015.65,31.9,32.78,0.02,1011.76,8.69,1008.07,33.57,32.26,0.02,1018.31
1550000,10.26,1010.65,31.49,32.36,0.01,1017.52,8.53,1019.64,33.16,33.44,0.01,1026.88,31.24,64.81,96.62,101.38,62.61,0.05,15.87,1014.47,33.31,33.52,0.03,1020.85,9.66,1017.58,32.14,32.18,0.02,1022.4
1575000,14.47,1010.49,32.11,30.51,0.01,1030.88,12.88,1029.87,32.16,33.27,0.01,1024.65,76.42,67.43,101.16,102.65,62.88,0.05,10.17,1019.29,34.26,32.74,0.02,1019.45,10.16,1032.62,33.89,34.28,0.02,1025.93
1600000,12.05,1020.98,31.79,31.78,0.01,1018.2,9.69,1018.51,31.86,30.7,0.01,1022.65,64.81,66.61,99.62,99.94,64.14,0.05,9.9,1021.61,35.13,31.95,0.02,1017.22,8.95,1015.03,35.04,34.13,0.02,1017.87
1625000,24.44,1024.4,31.91,32.81,0.01,1024.26,8.3,1021.61,31.6,32.31,0.01,1026.86,24.35,64.44,98.96,98.69,62.54,0.05,9.89,1011.76,32.88,32.73,0.02,1026.32,8.36,1009.36,33.09,33.09,0.02,1024.11
1650000,11.48,1023.29,32.46,31.05,0.01,1030.68,9.93,1011.93,30.82,30.2,0.01,1016.94,46.77,65.54,100.97,99.02,64.55,0.05,21.08,1039.75,31.43,32.75,0.03,1025.86,10.14,1009.41,32.9,33.9,0.02,1019.51
1675000,12.68,1015.62,33.45,31.6,0.01,1020.01,10.72,1019.91,32.76,33.15,0.01,1030.52,43.63,63.61,95.73,97.47,61.94,0.05,19.77,1035.06,34.04,33.21,0.02,1032.11,8.79,1028.75,32.72,32.84,0.02,1027.39
1700000,10.4,1025.47,34.92,32.13,0.01,1026.94,8.92,1023.94,32.19,32.58,0.01,1032.16,57.61,65.3,97.81,99.01,62.64,0.05,10.22,1017.33,32.15,32.2,0.02,1021.82,10.15,1031.26,33.41,33.71,0.02,1033.6
1725000,21.04,1021.84,32.89,31.9,0.01,1018.34,7.73,1015.62,32.27,31.32,0.01,1022.72,13.06,64.76,97.04,96.45,63.85,0.04,10.34,1021.04,33.59,33.01,0.02,1025.65,8.48,1025.27,35.13,33.27,0.02,1038.93
1750000,11.76,1021.91,32.86,31.7,0.01,1027.08,8.97,1019.01,32.05,31.0,0.01,1014.64,20.47,63.66,99.53,98.68,62.57,0.05,27.74,1010.59,32.57,34.25,0.02,1025.14,8.37,1017.44,33.38,33.16,0.02,1028.36
1775000,10.64,1026.65,30.67,31.5,0.01,1022.2,9.06,1011.0,31.66,31.58,0.01,1028.41,54.26,66.89,98.66,99.52,66.68,0.05,9.95,1028.9,32.91,33.19,0.02,1030.43,8.91,1007.75,32.37,31.46,0.02,1013.17
1800000,12.29,979.03,29.85,29.83,0.01,983.37,7.83,974.24,29.6,29.35,0.01,979.53,21.4,61.06,91.91,92.3,60.09,0.04,9.24,986.24,31.36,31.27,0.02,992.55,8.31,987.14,31.33,31.16,0.02,993.27
1825000,10.83,986.25,30.42,30.02,0.01,992.42,9.0,971.96,29.45,29.16,0.01,980.14,11.16,60.95,93.18,93.42,60.22,0.03,8.93,980.34,30.95,30.8,0.02,987.34,8.06,979.61,30.97,30.78,0.02,985.79
1850000,14.1,970.19,29.26,28.93,0.01,974.75,12.66,974.16,29.54,29.26,0.01,979.67,70.19,63.24,92.01,92.24,61.54,0.05,9.56,969.47,30.21,30.24,0.02,975.09,8.99,973.61,30.2,30.07,0.02,977.09
1875000,12.21,972.73,29.68,29.45,0.01,980.63,10.53,967.65,29.09,28.86,0.01,971.2,47.9,61.22,93.22,93.42,60.03,0.04,9.65,957.78,29.47,29.45,0.02,963.91,8.47,965.45,29.86,29.85,0.02,973.29
1900000,20.99,981.47,29.89,29.58,0.01,984.06,8.11,974.42,29.36,29.11,0.01,979.38,16.81,60.72,90.88,91.03,59.82,0.04,9.18,965.99,30.07,30.03,0.02,976.59,8.21,969.58,30.45,30.41,0.02,976.54
1925000,10.68,977.54,29.97,29.62,0.01,984.56,9.32,967.22,29.37,29.11,0.01,977.54,30.28,60.74,90.74,91.21,59.81,0.04,18.38,962.83,29.89,29.75,0.02,971.15,7.98,978.62,30.78,30.71,0.02,986.03
1950000,30.32,973.68,29.56,29.32,0.01,983.82,7.44,967.5,29.39,29.28,0.01,974.68,26.02,60.86,92.71,92.9,59.91,0.04,9.07,959.51,29.62,29.56,0.02,969.73,8.03,972.65,30.7,30.57,0.02,978.88
1975000,18.08,965.97,28.91,28.62,0.01,969.84,7.9,971.71,29.5,29.3,0.01,976.62,6.54,60.6,89.17,89.57,59.69,0.05,9.21,959.97,29.62,29.76,0.02,964.67,7.84,955.76,29.41,29.44,0.02,963.53
2000000,27.36,972.83,28.97,28.86,0.01,978.06,7.41,969.01,29.78,29.52,0.01,979.04,29.36,60.64,90.86,91.19,59.72,0.05,13.51,975.94,30.64,30.5,0.02,981.59,8.32,973.4,30.33,30.35,0.02,978.54
2025000,12.58,963.08,29.54,29.28,0.01,975.81,11.07,969.58,29.24,29.04,0.01,976.42,66.12,62.48,91.76,92.03,60.52,0.05,9.59,969.16,30.18,30.02,0.02,977.11,8.51,976.18,30.64,30.38,0.02,983.17
2050000,9.82,971.23,29.22,29.05,0.01,979.18,8.25,967.23,29.53,29.28,0.01,980.36,15.59,60.9,92.43,92.7,59.9,0.04,17.12,959.2,30.21,29.93,0.02,970.34,7.92,967.85,30.36,30.26,0.02,974.15
2075000,11.77,970.62,29.6,29.4,0.01,978.33,9.04,968.29,29.34,29.07,0.01,966.54,18.27,60.62,91.0,91.42,59.96,0.05,9.52,969.35,30.52,30.37,0.02,973.18,8.89,972.11,30.62,30.47,0.02,976.03
