NumberOfIntegers,ArrayList_insert(),ArrayList_insertAt(),ArrayList_searchMethod1(),ArrayList_searchMethod2(),ArrayList_get(),ArrayList_delete(),ArrayList_Initialized_insert(),ArrayList_Initialized_insertAt(),ArrayList_Initialized_searchMethod1(),ArrayList_Initialized_searchMethod2(),ArrayList_Initialized_get(),ArrayList_Initialized_delete(),LinkedList_insert(),LinkedList_insertAt(),LinkedList_searchMethod1(),LinkedList_searchMethod2(),LinkedList_get(),LinkedList_delete(),Vector_insert(),Vector_insertAt(),Vector_searchMethod1(),Vector_searchMethod2(),Vector_get(),Vector_delete(),Vector_Initialized_insert(),Vector_Initialized_insertAt(),Vector_Initialized_searchMethod1(),Vector_Initialized_searchMethod2(),Vector_Initialized_get(),Vector_Initialized_delete()
1200000,27,27,27,27,27,27,30,30,30,30,30,30,46,47,47,47,47,46,28,28,28,28,28,28,30,30,30,30,30,30
1225000,27,27,27,27,27,27,30,30,30,30,30,30,46,47,47,47,47,46,28,28,28,28,28,28,30,30,30,30,30,30
1250000,27,27,27,27,27,27,30,30,30,30,30,30,46,47,47,47,47,46,28,28,28,28,28,28,30,30,30,30,30,30
1275000,27,27,27,27,27,27,30,30,30,30,30,30,46,47,47,47,47,46,28,28,28,28,28,28,30,30,30,30,30,30
1300000,27,27,27,27,27,27,30,30,30,30,30,30,46,47,47,47,47,46,28,28,28,28,28,28,30,30,30,30,30,30
1325000,27,27,27,27,27,27,30,30,30,30,30,30,46,47,47,47,47,46,28,28,28,28,28,28,30,30,30,30,30,30
1350000,27,27,27,27,27,27,30,30,30,30,30,30,46,47,47,47,47,46,28,28,28,28,28,28,30,30,30,30,30,30
1375000,27,27,27,27,27,27,30,30,30,30,30,30,46,47,47,47,47,46,28,28,28,28,28,28,30,30,30,30,30,30
1400000,27,27,27,27,27,27,30,30,30,30,30,30,46,47,47,47,47,46,28,28,28,28,28,28,30,30,30,30,30,30
1425000,27,27,27,27,27,27,30,30,30,30,30,30,46,47,47,47,47,46,28,28,28,28,28,28,30,30,30,30,30,30
1450000,27,27,27,27,27,27,30,30,30,30,30,30,46,47,47,47,47,46,28,28,28,28,28,28,30,30,30,30,30,30
1475000,27,27,27,27,27,27,30,30,30,30,30,30,46,47,47,47,47,46,28,28,28,28,28,28,30,30,30,30,30,30
1500000,27,27,27,27,27,27,30,30,30,30,30,30,46,47,47,47,47,46,28,28,28,28,28,28,30,30,30,30,30,30
1525000,27,27,27,27,27,27,30,30,30,30,30,30,46,47,47,47,47,46,28,28,28,28,28,28,30,30,30,30,30,30
1550000,27,27,27,27,27,27,30,30,30,30,30,30,46,47,47,47,47,46,28,28,28,28,28,28,30,30,30,30,30,30
1575000,27,27,27,27,27,27,30,30,30,30,30,30,46,47,47,47,47,46,28,28,28,28,28,28,30,30,30,30,30,30
1600000,27,27,27,27,27,27,30,30,30,30,30,30,46,47,47,47,47,46,28,28,28,28,28,28,30,30,30,30,30,30
1625000,27,27,27,27,27,27,30,30,30,30,30,30,46,47,47,47,47,46,28,28,28,28,28,28,30,30,30,30,30,30
1650000,27,27,27,27,27,27,30,30,30,30,30,30,46,47,47,47,47,46,28,28,28,28,28,28,30,30,30,30,30,30
1675000,27,27,27,27,27,27,30,30,30,30,30,30,46,47,47,47,47,46,28,28,28,28,28,28,30,30,30,30,30,30
1700000,27,27,27,27,27,27,30,30,30,30,30,30,46,47,47,47,47,46,28,28,28,28,28,28,30,30,30,30,30,30
1725000,27,27,27,27,27,27,30,30,30,30,30,30,46,47,47,47,47,46,28,28,28,28,28,28,30,30,30,30,30,30
1750000,27,27,27,27,27,27,30,30,30,30,30,30,46,47,47,47,47,46,28,28,28,28,28,28,30,30,30,30,30,30
1775000,27,27,27,27,27,27,30,30,30,30,30,30,46,47,47,47,47,46,28,28,28,28,28,28,30,30,30,30,30,30
1800000,27,27,27,27,27,27,30,30,30,30,30,30,46,47,47,47,47,46,28,28,28,28,28,28,30,30,30,30,30,30
1825000,27,27,27,27,27,27,30,30,30,30,30,30,46,47,47,47,47,46,28,28,28,28,28,28,30,30,30,30,30,30
1850000,27,27,27,27,27,27,30,30,30,30,30,30,46,47,47,47,47,46,28,28,28,28,28,28,30,30,30,30,30,30
1875000,27,27,27,27,27,27,30,30,30,30,30,30,46,47,47,47,47,46,28,28,28,28,28,28,30,30,30,30,30,30
1900000,27,27,27,27,27,27,30,30,30,30,30,30,46,47,47,47,47,46,28,28,28,28,28,28,30,30,30,30,30,30
1925000,27,27,27,27,27,27,30,30,30,30,30,30,46,47,47,47,47,46,28,28,28,28,28,28,30,30,30,30,30,30
1950000,27,27,27,27,27,27,30,30,30,30,30,30,46,47,47,47,47,46,28,28,28,28,28,28,30,30,30,30,30,30
1975000,27,27,27,27,27,27,30,30,30,30,30,30,46,47,47,47,47,46,28,28,28,28,28,28,30,30,30,30,30,30
2000000,27,27,27,27,27,27,30,30,30,30,30,30,46,47,47,47,47,46,28,28,28,28,28,28,30,30,30,30,30,30
2025000,27,27,27,27,27,27,30,30,30,30,30,30,46,47,47,47,47,46,28,28,28,28,28,28,30,30,30,30,30,30
2050000,27,27,27,27,27,27,30,30,30,30,30,30,46,47,47,47,47,46,28,28,28,28,28,28,30,30,30,30,30,30
2075000,27,27,27,27,27,27,30,30,30,30,30,30,46,47,47,47,47,46,28,28,28,28,28,28,30,30,30,30,30,30
