NumberOfIntegers,DataStructure,put(),replace(),containsKey(),containsValue(),get(),remove()
525000,HashMap,56.47,1.47,0.49,23992.07,0.56,0.49
525000,HashMap_Initialized,38.01,1.29,0.43,23997.98,0.66,0.75
525000,LinkedHashMap,56.49,1.01,0.37,16441.12,0.62,0.88
525000,LinkedHashMap_Initialized,90.41,1.57,0.53,16457.69,0.63,0.88
525000,TreeMap,606.24,6.74,6.39,182685.2,7.74,6.98

550000,HashMap,71.96,1.17,0.48,29568.81,0.56,1.0
550000,HashMap_Initialized,50.81,0.95,0.39,29852.7,0.64,0.67
550000,LinkedHashMap,80.63,0.77,0.4,21902.23,0.72,1.58
550000,LinkedHashMap_Initialized,58.0,1.06,0.44,21815.15,0.7,1.4
550000,TreeMap,711.67,7.98,8.1,223378.58,9.05,8.29

575000,HashMap,76.29,1.32,0.56,30742.02,0.55,0.65
575000,HashMap_Initialized,48.71,1.15,0.47,30334.94,0.56,0.69
575000,LinkedHashMap,72.95,1.12,0.47,21695.97,0.77,1.08
575000,LinkedHashMap_Initialized,61.74,1.15,0.45,21443.56,0.75,1.39
575000,TreeMap,737.19,7.94,7.35,248313.71,9.26,8.95
